"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2020","2,532.51","2,522.53","2,602.33","2,478.39","6.35B","0.11%"
"01/07/2020","2,529.82","2,604.08","2,707.67","2,511.02","4.88B","-2.32%"
"01/06/2020","2,589.91","2,519.42","2,839.39","2,516.46","8.40B","3.15%"
"01/05/2020","2,510.75","2,624.23","2,624.23","2,489.94","7.37B","-4.32%"
"01/04/2020","2,624.23","2,468.17","2,671.58","2,380.84","7.24B","5.76%"
"01/03/2020","2,481.23","2,988.35","3,047.79","2,208.42","10.26B","-17.60%"
"01/02/2020","3,011.08","3,131.02","3,233.86","3,008.46","5.32B","-4.52%"
"01/01/2020","3,153.73","3,222.83","3,283.89","3,144.10","4.95B","-2.14%"
"01/12/2019","3,222.83","3,198.27","3,239.24","3,144.07","4.54B","0.91%"
"01/11/2019","3,193.92","3,227.60","3,285.72","3,182.05","7.06B","-1.11%"
"01/10/2019","3,229.88","3,130.11","3,235.24","3,068.83","4.56B","3.52%"
"01/09/2019","3,119.99","3,092.25","3,216.87","3,074.04","4.12B","0.43%"
"01/08/2019","3,106.52","3,282.79","3,311.26","3,040.16","5.19B","-5.88%"
"01/07/2019","3,300.75","3,339.58","3,386.65","3,299.89","4.63B","-0.63%"
"01/06/2019","3,321.61","3,111.51","3,336.08","3,104.03","4.29B","6.54%"
"01/05/2019","3,117.76","3,389.52","3,397.18","3,110.51","4.45B","-8.31%"
"01/04/2019","3,400.20","3,229.11","3,415.18","3,227.62","4.59B","5.83%"
"01/03/2019","3,212.88","3,210.84","3,251.72","3,156.79","4.26B","0.01%"
"01/02/2019","3,212.69","3,194.22","3,286.08","3,174.00","3.90B","0.71%"
"01/01/2019","3,190.17","3,072.99","3,250.27","2,993.42","4.61B","3.96%"
"01/12/2018","3,068.76","3,154.22","3,192.88","3,000.45","3.74B","-1.57%"
"01/11/2018","3,117.61","3,045.68","3,132.42","3,007.31","4.60B","3.27%"
"01/10/2018","3,018.80","3,262.43","3,272.88","2,955.68","5.69B","-7.31%"
"01/09/2018","3,257.05","3,209.97","3,265.01","3,102.73","4.29B","1.36%"
"01/08/2018","3,213.48","3,331.05","3,347.98","3,187.83","5.16B","-3.20%"
"01/07/2018","3,319.85","3,277.43","3,341.42","3,176.26","5.18B","1.56%"
"01/06/2018","3,268.70","3,423.50","3,492.34","3,237.77","5.67B","-4.65%"
"01/05/2018","3,428.18","3,624.20","3,641.65","3,428.18","6.10B","-5.14%"
"01/04/2018","3,613.93","3,439.04","3,628.43","3,338.96","4.74B","5.42%"
"01/03/2018","3,427.97","3,493.44","3,555.98","3,382.78","5.12B","-2.56%"
"01/02/2018","3,517.94","3,536.93","3,574.59","3,340.55","6.33B","-0.45%"
"01/01/2018","3,533.99","3,406.48","3,611.69","3,403.87","4.87B","3.85%"
"01/12/2017","3,402.92","3,441.85","3,469.36","3,370.22","3.49B","-0.89%"
"01/11/2017","3,433.54","3,377.19","3,449.32","3,341.30","4.94B","1.76%"
"01/10/2017","3,374.08","3,233.95","3,392.15","3,230.81","4.39B","4.79%"
"01/09/2017","3,219.91","3,274.39","3,275.14","3,193.41","3.96B","-1.75%"
"01/08/2017","3,277.26","3,321.50","3,349.09","3,244.23","5.01B","-1.57%"
"01/07/2017","3,329.52","3,228.91","3,354.71","3,196.14","5.24B","3.19%"
"01/06/2017","3,226.48","3,214.12","3,270.92","3,196.49","4.55B","0.49%"
"01/05/2017","3,210.82","3,175.44","3,275.39","3,175.44","5.24B","1.11%"
"01/04/2017","3,175.44","3,180.27","3,189.81","3,113.90","4.42B","0.01%"
"01/03/2017","3,175.11","3,106.30","3,188.02","3,104.33","5.63B","2.54%"
"01/02/2017","3,096.61","3,045.94","3,138.97","3,030.65","5.52B","1.63%"
"01/01/2017","3,046.80","2,887.00","3,065.13","2,869.66","4.49B","5.76%"
"01/12/2016","2,880.76","2,913.65","2,980.77","2,857.91","4.60B","-0.84%"
"01/11/2016","2,905.17","2,814.08","2,915.42","2,760.97","7.10B","3.24%"
"01/10/2016","2,813.87","2,879.85","2,901.73","2,783.33","3.81B","-1.94%"
"01/09/2016","2,869.47","2,821.93","2,911.84","2,791.38","4.32B","1.73%"
"01/08/2016","2,820.59","2,875.59","2,898.27","2,810.88","4.46B","-1.68%"
"01/07/2016","2,868.69","2,848.45","2,958.90","2,830.00","4.50B","0.98%"
"01/06/2016","2,840.93","2,787.99","2,881.92","2,703.48","4.89B","1.79%"
"01/05/2016","2,791.06","2,842.86","2,848.90","2,713.47","5.44B","-1.67%"
"01/04/2016","2,838.52","2,820.66","2,964.10","2,783.42","4.56B","-0.08%"
"01/03/2016","2,840.90","2,666.71","2,906.80","2,654.98","6.79B","6.54%"
"01/02/2016","2,666.51","2,637.05","2,684.79","2,528.44","6.48B","1.42%"
"01/01/2016","2,629.11","2,889.23","2,890.21","2,529.01","6.25B","-8.80%"
"01/12/2015","2,882.73","2,862.79","2,911.44","2,793.39","4.12B","0.94%"
"01/11/2015","2,855.94","2,976.72","3,043.85","2,843.95","4.90B","-4.75%"
"01/10/2015","2,998.35","2,795.40","3,104.72","2,765.44","6.62B","7.43%"
"01/09/2015","2,790.89","2,915.53","2,931.65","2,740.36","5.88B","-4.47%"
"01/08/2015","2,921.44","3,205.59","3,217.13","2,808.31","7.56B","-8.78%"
"01/07/2015","3,202.50","3,317.47","3,383.56","3,184.57","5.58B","-3.46%"
"01/06/2015","3,317.33","3,375.05","3,375.05","3,267.68","5.28B","-2.20%"
"01/05/2015","3,392.11","3,479.01","3,490.74","3,381.79","4.65B","-2.73%"
"01/04/2015","3,487.39","3,439.76","3,549.85","3,435.59","4.99B","1.17%"
"01/03/2015","3,447.01","3,408.88","3,469.02","3,356.66","5.60B","1.30%"
"01/02/2015","3,402.86","3,398.51","3,458.14","3,394.54","4.72B","0.34%"
"01/01/2015","3,391.20","3,364.08","3,432.62","3,267.89","5.08B","0.77%"
"01/12/2014","3,365.15","3,352.32","3,373.93","3,200.63","4.65B","0.44%"
"01/11/2014","3,350.50","3,286.57","3,360.32","3,273.68","5.02B","2.33%"
"01/10/2014","3,274.25","3,267.96","3,274.25","3,149.91","4.55B","-0.08%"
"01/09/2014","3,276.74","3,326.66","3,356.71","3,256.97","4.40B","-1.51%"
"01/08/2014","3,327.09","3,346.41","3,358.52","3,277.97","4.21B","-1.39%"
"01/07/2014","3,374.06","3,255.65","3,387.84","3,234.06","3.24B","3.64%"
"01/06/2014","3,255.67","3,303.23","3,311.44","3,246.72","3.19B","-1.22%"
"01/05/2014","3,295.85","3,266.13","3,308.80","3,221.37","4.67B","0.95%"
"01/04/2014","3,264.71","3,195.46","3,284.70","3,181.78","5.40B","2.39%"
"01/03/2014","3,188.62","3,078.29","3,194.32","3,053.59","5.51B","2.50%"
"01/02/2014","3,110.78","3,011.41","3,121.29","2,953.01","4.20B","2.76%"
"01/01/2014","3,027.22","3,179.67","3,187.80","3,012.26","3.77B","-4.43%"
"01/12/2013","3,167.43","3,177.87","3,197.09","3,025.41","3.94B","-0.28%"
"01/11/2013","3,176.35","3,212.13","3,218.55","3,158.40","4.47B","-1.07%"
"01/10/2013","3,210.67","3,180.72","3,235.25","3,122.38","4.50B","1.35%"
"01/09/2013","3,167.87","3,037.59","3,260.14","3,015.42","4.81B","4.59%"
"01/08/2013","3,028.94","3,244.23","3,268.63","2,990.68","5.93B","-5.99%"
"01/07/2013","3,221.93","3,147.49","3,277.55","3,125.49","5.31B","2.27%"
"01/06/2013","3,150.44","3,287.10","3,304.07","3,065.42","6.10B","-4.86%"
"01/05/2013","3,311.37","3,370.19","3,464.79","3,303.11","7.96B","-1.69%"
"01/04/2013","3,368.18","3,308.10","3,383.46","3,264.08","5.91B","1.82%"
"01/03/2013","3,308.10","3,266.84","3,321.62","3,234.67","6.00B","1.17%"
"01/02/2013","3,269.95","3,286.65","3,319.19","3,250.87","4.85B","-0.39%"
"01/01/2013","3,282.66","3,188.59","3,290.90","3,160.83","5.80B","3.65%"
"01/12/2012","3,167.08","3,086.49","3,195.74","3,052.23","4.78B","3.16%"
"01/11/2012","3,069.95","3,026.40","3,083.26","2,931.60","7.13B","1.04%"
"01/10/2012","3,038.37","3,054.57","3,110.86","3,021.92","5.03B","-0.72%"
"01/09/2012","3,060.34","3,013.63","3,088.35","2,977.64","6.70B","1.15%"
"01/08/2012","3,025.46","3,026.54","3,088.45","3,004.76","6.30B","-0.36%"
"01/07/2012","3,036.40","2,902.09","3,040.11","2,888.05","5.76B","5.49%"
"01/06/2012","2,878.45","2,758.14","2,897.96","2,698.90","5.56B","3.82%"
"01/05/2012","2,772.54","2,986.94","3,013.34","2,758.41","6.28B","-6.92%"
"01/04/2012","2,978.57","3,013.37","3,033.15","2,946.29","4.37B","-1.06%"
"01/03/2012","3,010.46","2,998.87","3,035.78","2,906.58","6.53B","0.55%"
"01/02/2012","2,994.06","2,900.27","3,031.45","2,883.49","9.06B","3.01%"
"01/01/2012","2,906.69","2,658.17","2,917.59","2,657.77","6.58B","9.84%"
"01/12/2011","2,646.35","2,769.19","2,793.08","2,606.52","4.16B","-2.08%"
"01/11/2011","2,702.46","2,832.37","2,880.12","2,643.54","7.88B","-5.37%"
"01/10/2011","2,855.77","2,642.68","2,905.72","2,521.95","7.88B","6.75%"
"01/09/2011","2,675.16","2,886.75","2,910.28","2,627.24","8.38B","-7.28%"
"01/08/2011","2,885.26","3,205.76","3,227.28","2,680.83","10.60B","-9.53%"
"01/07/2011","3,189.26","3,131.74","3,200.56","3,056.71","6.40B","2.21%"
"01/06/2011","3,120.44","3,161.87","3,181.53","2,999.19","5.99B","-1.25%"
"01/05/2011","3,159.93","3,180.68","3,182.46","3,078.26","6.38B","-0.63%"
"01/04/2011","3,179.86","3,107.90","3,208.34","3,103.22","6.23B","2.38%"
"01/03/2011","3,105.85","3,027.67","3,115.47","2,919.98","7.68B","3.17%"
"01/02/2011","3,010.51","3,188.93","3,232.99","2,965.24","7.23B","-5.32%"
"01/01/2011","3,179.72","3,211.22","3,280.77","3,177.78","6.68B","-0.32%"
"01/12/2010","3,190.04","3,144.75","3,220.89","3,121.07","5.30B","1.44%"
"01/11/2010","3,144.70","3,150.89","3,313.61","3,118.62","7.91B","0.07%"
"01/10/2010","3,142.62","3,106.92","3,220.71","3,101.46","7.93B","1.45%"
"01/09/2010","3,097.63","2,958.47","3,125.72","2,958.47","7.02B","4.99%"
"01/08/2010","2,950.33","3,011.84","3,043.28","2,910.21","7.72B","-1.25%"
"01/07/2010","2,987.70","2,821.97","3,018.26","2,814.44","6.73B","5.37%"
"01/06/2010","2,835.51","2,741.67","2,890.09","2,710.80","6.03B","3.01%"
"01/05/2010","2,752.60","2,956.17","2,959.70","2,648.15","8.99B","-7.46%"
"01/04/2010","2,974.61","2,898.76","3,037.97","2,898.21","5.93B","3.02%"
"01/03/2010","2,887.46","2,762.98","2,937.80","2,749.74","6.93B","4.97%"
"01/02/2010","2,750.86","2,742.23","2,797.00","2,665.97","6.93B","0.20%"
"01/01/2010","2,745.35","2,891.35","2,947.08","2,706.26","8.98B","-5.26%"
"01/12/2009","2,897.62","2,750.35","2,897.62","2,743.36","4.94B","6.06%"
"01/11/2009","2,732.12","2,621.52","2,803.85","2,616.49","5.89B","3.05%"
"01/10/2009","2,651.13","2,662.74","2,739.55","2,576.84","6.98B","-0.80%"
"01/09/2009","2,672.57","2,601.88","2,707.24","2,560.15","8.59B","3.07%"
"01/08/2009","2,592.90","2,648.17","2,700.78","2,521.36","8.34B","-2.49%"
"01/07/2009","2,659.20","2,329.37","2,659.45","2,235.45","8.16B","13.98%"
"01/06/2009","2,333.14","2,341.48","2,424.52","2,211.81","8.12B","0.17%"
"01/05/2009","2,329.08","1,939.46","2,347.37","1,930.60","11.69B","21.29%"
"01/04/2009","1,920.28","1,696.40","1,947.30","1,689.87","8.99B","12.96%"
"01/03/2009","1,699.99","1,566.81","1,779.04","1,455.47","7.50B","6.59%"
"01/02/2009","1,594.87","1,734.23","1,746.93","1,567.22","6.24B","-8.68%"
"01/01/2009","1,746.47","1,781.51","1,959.95","1,677.06","6.82B","-0.86%"
"01/12/2008","1,761.56","1,709.51","1,844.03","1,638.67","6.00B","1.67%"
"01/11/2008","1,732.57","1,838.28","1,933.51","1,570.23","7.68B","-3.43%"
"01/10/2008","1,794.20","2,371.07","2,398.67","1,473.77","9.58B","-23.94%"
"01/09/2008","2,358.91","2,718.07","2,763.42","2,239.75","6.34B","-13.91%"
"01/08/2008","2,739.95","2,893.98","2,911.83","2,688.32","4.29B","-6.48%"
"01/07/2008","2,929.65","2,960.44","2,997.82","2,819.65","4.05B","-0.61%"
"01/06/2008","2,947.54","3,188.22","3,214.64","2,922.87","4.22B","-7.68%"
"01/05/2008","3,192.62","3,206.72","3,269.88","3,085.13","4.50B","1.42%"
"01/04/2008","3,147.79","3,021.92","3,235.24","2,994.84","1.88B","4.67%"
"01/03/2008","3,007.36","2,940.88","3,058.93","2,745.96","","-0.63%"
"01/02/2008","3,026.45","3,015.90","3,129.27","2,859.08","","1.50%"
"01/01/2008","2,981.75","3,462.69","3,474.90","2,746.73","","-13.96%"
"01/12/2007","3,465.63","3,549.47","3,621.84","3,300.86","","-0.88%"
"01/11/2007","3,496.40","3,837.77","3,842.95","3,265.86","","-7.10%"
"01/10/2007","3,763.57","3,734.94","3,906.16","3,605.68","","3.24%"
"01/09/2007","3,645.41","3,390.84","3,726.53","3,308.81","","9.52%"
"01/08/2007","3,328.43","3,516.03","3,525.29","2,962.01","","-4.38%"
"01/07/2007","3,481.02","3,553.48","3,688.58","3,427.64","","0.15%"
"01/06/2007","3,475.89","3,547.64","3,652.02","3,414.95","","1.01%"
"01/05/2007","3,441.30","3,395.57","3,559.01","3,335.34","","4.73%"
