"Date","Price","Open","High","Low","Vol.","Change %"
"08/09/2011","8,793.12","8,863.24","8,876.49","8,757.58","104.9M","0.34%"
"07/09/2011","8,763.41","8,723.05","8,773.26","8,702.78","130.1M","2.01%"
"06/09/2011","8,590.57","8,687.11","8,709.92","8,588.34","152.8M","-2.21%"
"05/09/2011","8,784.46","8,828.46","8,842.56","8,757.18","112.1M","-1.86%"
"02/09/2011","8,950.74","8,980.56","9,014.27","8,914.65","126.9M","-1.21%"
"01/09/2011","9,060.80","9,017.01","9,098.15","8,998.01","126.2M","1.18%"
"31/08/2011","8,955.20","8,938.31","8,967.80","8,905.52","136.2M","0.01%"
"30/08/2011","8,953.90","8,958.50","8,992.86","8,935.85","135.6M","1.16%"
"29/08/2011","8,851.35","8,802.25","8,926.27","8,751.29","143.7M","0.61%"
"26/08/2011","8,797.78","8,746.77","8,805.10","8,742.46","140.9M","0.29%"
"25/08/2011","8,772.36","8,748.01","8,849.94","8,741.74","160.8M","1.54%"
"24/08/2011","8,639.61","8,812.16","8,825.27","8,620.89","167.1M","-1.07%"
"23/08/2011","8,733.01","8,703.31","8,747.41","8,630.49","158.7M","1.22%"
"22/08/2011","8,628.13","8,686.91","8,756.10","8,619.21","146.2M","-1.04%"
"19/08/2011","8,719.24","8,771.70","8,796.42","8,707.47","152.1M","-2.51%"
"18/08/2011","8,943.76","9,043.18","9,043.18","8,931.25","119.5M","-1.25%"
"17/08/2011","9,057.26","9,047.89","9,081.80","9,003.70","115.1M","-0.55%"
"16/08/2011","9,107.43","9,135.06","9,150.31","9,072.53","117.5M","0.23%"
"15/08/2011","9,086.41","9,082.53","9,117.11","9,032.84","107.8M","1.37%"
"12/08/2011","8,963.72","9,064.17","9,070.27","8,926.89","150.7M","-0.20%"
"11/08/2011","8,981.94","8,876.54","8,983.33","8,832.42","162.9M","-0.63%"
"10/08/2011","9,038.74","9,110.81","9,144.33","9,021.36","173.7M","1.05%"
"09/08/2011","8,944.48","8,911.80","8,949.97","8,656.79","252.5M","-1.68%"
"08/08/2011","9,097.56","9,169.67","9,215.09","9,057.29","147M","-2.18%"
"05/08/2011","9,299.88","9,469.16","9,469.16","9,264.09","189M","-3.72%"
"04/08/2011","9,659.18","9,685.50","9,768.40","9,615.35","154.8M","0.23%"
"03/08/2011","9,637.14","9,705.02","9,705.02","9,610.38","131.2M","-2.11%"
"02/08/2011","9,844.59","9,872.17","9,873.46","9,822.30","120.5M","-1.21%"
"01/08/2011","9,965.01","9,907.04","10,040.13","9,906.17","145M","1.34%"
"29/07/2011","9,833.03","9,866.82","9,914.22","9,824.34","146.5M","-0.69%"
"28/07/2011","9,901.35","9,936.97","9,945.98","9,853.85","131.4M","-1.45%"
"27/07/2011","10,047.19","10,048.34","10,053.50","10,009.37","123.9M","-0.50%"
"26/07/2011","10,097.72","10,078.48","10,130.25","10,043.99","111.2M","0.47%"
"25/07/2011","10,050.01","10,080.82","10,091.02","10,039.10","104.1M","-0.81%"
"22/07/2011","10,132.11","10,096.89","10,149.18","10,076.53","134.2M","1.22%"
"21/07/2011","10,010.39","10,019.94","10,026.18","9,974.00","125.5M","0.04%"
"20/07/2011","10,005.90","10,008.00","10,042.75","9,986.33","104.4M","1.17%"
"19/07/2011","9,889.72","9,921.50","9,945.72","9,889.72","108.8M","-0.85%"
"15/07/2011","9,974.47","9,919.59","9,985.32","9,919.10","101.3M","0.39%"
"14/07/2011","9,936.12","9,929.18","9,998.49","9,884.00","126.8M","-0.27%"
"13/07/2011","9,963.14","9,891.11","9,979.67","9,887.33","119M","0.37%"
"12/07/2011","9,925.92","9,943.32","9,971.14","9,907.81","135M","-1.43%"
"11/07/2011","10,069.53","10,069.01","10,109.30","10,057.77","104.9M","-0.67%"
"08/07/2011","10,137.73","10,205.71","10,207.91","10,126.47","127.3M","0.66%"
"07/07/2011","10,071.14","10,047.15","10,102.19","10,029.33","133.2M","-0.11%"
"06/07/2011","10,082.48","9,987.25","10,082.48","9,967.87","137.7M","1.10%"
"05/07/2011","9,972.46","9,959.39","9,995.17","9,948.38","132.6M","0.07%"
"04/07/2011","9,965.09","9,980.16","10,005.75","9,940.47","131.4M","0.98%"
"01/07/2011","9,868.07","9,878.69","9,900.57","9,849.64","111.6M","0.53%"
"30/06/2011","9,816.09","9,838.09","9,849.69","9,785.89","136.2M","0.19%"
"29/06/2011","9,797.26","9,767.91","9,797.26","9,734.66","123.4M","1.54%"
"28/06/2011","9,648.98","9,668.01","9,703.41","9,632.54","117.5M","0.74%"
"27/06/2011","9,578.31","9,633.92","9,638.49","9,570.58","119.3M","-1.04%"
"24/06/2011","9,678.71","9,626.43","9,695.09","9,609.24","130.9M","0.85%"
"23/06/2011","9,596.74","9,557.72","9,652.41","9,553.30","127.6M","-0.34%"
"22/06/2011","9,629.43","9,525.25","9,658.62","9,525.25","137.8M","1.79%"
"21/06/2011","9,459.66","9,420.43","9,459.66","9,378.36","116M","1.13%"
"20/06/2011","9,354.32","9,383.24","9,421.38","9,346.76","121.7M","0.03%"
"17/06/2011","9,351.40","9,443.32","9,447.44","9,318.62","139.7M","-0.64%"
"16/06/2011","9,411.28","9,478.63","9,497.59","9,411.28","125.5M","-1.70%"
"15/06/2011","9,574.32","9,589.54","9,599.90","9,520.93","142.8M","0.28%"
"14/06/2011","9,547.79","9,446.84","9,565.65","9,438.41","141.2M","1.05%"
"13/06/2011","9,448.21","9,405.16","9,466.51","9,391.26","96.4M","-0.70%"
"10/06/2011","9,514.44","9,536.84","9,613.75","9,493.05","188.8M","0.50%"
"09/06/2011","9,467.15","9,411.71","9,472.41","9,383.12","143.1M","0.19%"
"08/06/2011","9,449.46","9,428.62","9,458.43","9,394.74","117.2M","0.07%"
"07/06/2011","9,442.95","9,371.21","9,454.66","9,358.31","128.4M","0.67%"
"06/06/2011","9,380.35","9,467.37","9,490.55","9,359.78","140.3M","-1.18%"
"03/06/2011","9,492.21","9,550.59","9,603.03","9,490.68","115.7M","-0.66%"
"02/06/2011","9,555.04","9,560.63","9,575.01","9,517.28","144.1M","-1.69%"
"01/06/2011","9,719.61","9,708.05","9,720.73","9,659.31","136M","0.27%"
"31/05/2011","9,693.73","9,500.60","9,697.35","9,497.40","156.5M","1.99%"
"30/05/2011","9,504.97","9,489.78","9,540.02","9,448.00","93.7M","-0.18%"
"27/05/2011","9,521.94","9,514.16","9,588.70","9,493.44","108.9M","-0.42%"
"26/05/2011","9,562.05","9,499.45","9,567.46","9,489.12","117.5M","1.48%"
"25/05/2011","9,422.88","9,492.43","9,503.77","9,415.33","116.7M","-0.57%"
"24/05/2011","9,477.17","9,406.04","9,490.35","9,406.04","115.9M","0.17%"
"23/05/2011","9,460.63","9,547.86","9,547.86","9,437.87","131.5M","-1.52%"
"20/05/2011","9,607.08","9,612.87","9,670.92","9,600.48","120.8M","-0.14%"
"19/05/2011","9,620.82","9,711.32","9,731.12","9,600.81","117.2M","-0.43%"
"18/05/2011","9,662.08","9,602.88","9,693.60","9,590.40","132.8M","0.99%"
"17/05/2011","9,567.02","9,513.50","9,593.13","9,502.39","136M","0.09%"
"16/05/2011","9,558.30","9,571.13","9,598.33","9,552.86","126.1M","-0.94%"
"13/05/2011","9,648.77","9,751.45","9,751.45","9,552.93","212.6M","-0.70%"
"12/05/2011","9,716.65","9,770.71","9,836.71","9,716.65","144.9M","-1.50%"
"11/05/2011","9,864.26","9,912.48","9,929.04","9,842.67","141.7M","0.46%"
"10/05/2011","9,818.76","9,804.27","9,853.13","9,755.93","131.9M","0.25%"
"09/05/2011","9,794.38","9,881.67","9,897.88","9,776.74","110.7M","-0.66%"
"06/05/2011","9,859.20","9,851.15","9,876.10","9,782.66","132.4M","-1.45%"
"02/05/2011","10,004.20","9,964.39","10,017.47","9,936.27","127.8M","1.57%"
"28/04/2011","9,849.74","9,749.36","9,849.74","9,712.58","158.1M","1.63%"
"27/04/2011","9,691.84","9,631.53","9,728.03","9,630.37","115.9M","1.39%"
"26/04/2011","9,558.69","9,627.43","9,627.43","9,536.51","100.3M","-1.17%"
"25/04/2011","9,671.96","9,705.90","9,748.40","9,657.24","100.6M","-0.11%"
"22/04/2011","9,682.21","9,623.00","9,732.63","9,611.38","126.2M","-0.04%"
"21/04/2011","9,685.77","9,686.27","9,725.12","9,643.92","118M","0.82%"
"20/04/2011","9,606.82","9,536.79","9,631.00","9,519.36","125.9M","1.76%"
"19/04/2011","9,441.03","9,448.65","9,478.87","9,405.19","131.5M","-1.21%"
"18/04/2011","9,556.65","9,593.41","9,608.92","9,539.03","110.1M","-0.36%"
"15/04/2011","9,591.52","9,646.22","9,651.96","9,577.96","147.9M","-0.65%"
"14/04/2011","9,653.92","9,579.79","9,676.97","9,553.75","153.1M","0.13%"
"13/04/2011","9,641.18","9,516.50","9,655.83","9,516.50","157.4M","0.90%"
"12/04/2011","9,555.26","9,603.50","9,603.64","9,513.27","169M","-1.69%"
"11/04/2011","9,719.70","9,731.32","9,775.60","9,700.75","147.5M","-0.50%"
"08/04/2011","9,768.08","9,586.17","9,804.28","9,536.68","215M","1.85%"
"07/04/2011","9,590.93","9,652.65","9,687.18","9,578.47","165.4M","0.07%"
"06/04/2011","9,584.37","9,668.11","9,671.46","9,562.16","203.3M","-0.32%"
