"Date","Price","Open","High","Low","Vol.","Change %"
"21/05/2025","3,882.55","3,876.57","3,882.91","3,865.14","251.69M","0.00%"
"20/05/2025","3,882.50","3,897.61","3,901.67","3,879.30","248.83M","0.16%"
"19/05/2025","3,876.20","3,897.47","3,903.16","3,873.89","270M","-0.56%"
"16/05/2025","3,897.87","3,887.79","3,897.87","3,878.81","268.3M","0.15%"
"15/05/2025","3,891.94","3,886.74","3,891.94","3,873.38","346.94M","0.54%"
"14/05/2025","3,871.05","3,887.23","3,889.41","3,861.46","272.28M","-0.26%"
"13/05/2025","3,881.05","3,936.16","3,956.26","3,881.05","469.42M","0.13%"
"09/05/2025","3,876.16","3,858.73","3,879.56","3,854.72","189.86M","0.73%"
"08/05/2025","3,848.22","3,858.43","3,875.41","3,839.14","330.38M","-0.44%"
"07/05/2025","3,865.37","3,845.69","3,869.23","3,838.12","386.62M","0.13%"
"06/05/2025","3,860.41","3,861.19","3,869.03","3,847.72","209.85M","0.19%"
"05/05/2025","3,853.07","3,856.02","3,858.97","3,836.70","167.29M","0.21%"
"02/05/2025","3,845.14","3,842.38","3,850.02","3,831.04","281.52M","0.33%"
"30/04/2025","3,832.51","3,811.72","3,832.51","3,801.73","285.36M","0.72%"
"29/04/2025","3,805.18","3,802.02","3,838.14","3,800.11","251.59M","-0.17%"
"28/04/2025","3,811.80","3,821.37","3,821.68","3,797.17","220.94M","-0.31%"
"25/04/2025","3,823.78","3,846.85","3,846.85","3,806.86","312.65M","-0.21%"
"24/04/2025","3,831.92","3,845.58","3,851.38","3,825.98","306.98M","-0.01%"
"23/04/2025","3,832.32","3,824.81","3,842.97","3,817.31","305M","0.97%"
"22/04/2025","3,795.41","3,754.69","3,823.31","3,739.40","275.13M","0.96%"
"21/04/2025","3,759.22","3,730.14","3,774.39","3,729.60","215.93M","1.05%"
"17/04/2025","3,720.33","3,673.97","3,722.53","3,653.08","270.24M","1.58%"
"16/04/2025","3,662.45","3,631.56","3,662.45","3,619.44","301.1M","1.04%"
"15/04/2025","3,624.72","3,577.24","3,624.72","3,566.80","322.68M","2.14%"
"14/04/2025","3,548.91","3,567.21","3,592.68","3,548.91","259.34M","1.04%"
"11/04/2025","3,512.53","3,485.31","3,530.16","3,464.44","389.25M","-1.83%"
"10/04/2025","3,577.83","3,548.45","3,688.19","3,548.45","613.23M","5.43%"
"09/04/2025","3,393.69","3,437.46","3,437.46","3,372.38","623.81M","-2.18%"
"08/04/2025","3,469.47","3,540.37","3,580.86","3,450.30","660.8M","-2.01%"
"07/04/2025","3,540.50","3,600.89","3,634.57","3,494.39","897.83M","-7.46%"
"04/04/2025","3,825.86","3,900.20","3,910.71","3,820.00","505.23M","-2.95%"
"03/04/2025","3,942.23","3,907.62","3,955.04","3,902.98","393.53M","-0.30%"
"02/04/2025","3,954.21","3,938.20","3,965.13","3,924.92","264.8M","-0.37%"
"01/04/2025","3,968.85","3,950.77","3,980.28","3,938.43","444.16M","-0.09%"
"28/03/2025","3,972.43","3,997.56","4,005.18","3,969.01","250.79M","-0.23%"
"27/03/2025","3,981.57","3,969.07","3,991.00","3,959.75","261.59M","0.45%"
"26/03/2025","3,963.71","3,965.99","3,976.50","3,953.49","253.19M","0.23%"
"25/03/2025","3,954.53","3,957.13","3,985.72","3,946.59","299.91M","0.46%"
"24/03/2025","3,936.33","3,938.58","3,947.63","3,920.62","220.78M","0.25%"
"21/03/2025","3,926.45","3,922.31","3,936.43","3,911.61","409.66M","-0.10%"
"20/03/2025","3,930.49","3,917.42","3,941.98","3,906.01","302.51M","0.57%"
"19/03/2025","3,908.31","3,916.31","3,918.24","3,900.23","286.19M","0.34%"
"18/03/2025","3,894.97","3,879.66","3,908.02","3,876.19","305.26M","0.92%"
"17/03/2025","3,859.36","3,860.09","3,870.74","3,848.28","278.79M","0.61%"
"14/03/2025","3,836.02","3,827.87","3,838.29","3,823.75","280.6M","-0.04%"
"13/03/2025","3,837.52","3,824.20","3,843.39","3,819.68","404.13M","0.12%"
"12/03/2025","3,833.07","3,811.55","3,846.77","3,805.70","404.95M","0.19%"
"11/03/2025","3,825.83","3,849.16","3,852.08","3,806.53","374.69M","-1.88%"
