month,corr_SH_Hang_Seng,corr_SH_Nikkei,corr_SH_KOSPI,corr_SH_STI,corr_SH_SP500,DCEF,RIPO,NIPO,NA,TURN,CCI,ISI,StdISI
2010-06,0.5788836898016,0.34180776748675,0.439706036103008,0.392935498006279,0.237081547662905,-0.134,0.2134,28,34.85,0.1974,108.0,53.55,-0.41
2010-07,0.5864139116073,0.329147234616306,0.43024249173194,0.371006746715323,0.243984938428783,-0.1313,0.2327,25,35.48,0.1729,108.5,53.38,-0.52
2010-08,0.555040428719258,0.295310246849513,0.392066863331238,0.316034076539269,0.179671756157976,-0.15,0.7496,31,38.11,0.1927,107.8,56.51,-0.02
2010-09,0.533622599770398,0.297692303023378,0.395002706636842,0.305165016515152,0.112247252109187,-0.1715,0.5021,29,34.01,0.2604,107.3,53.23,-0.06
2010-10,0.522531199468038,0.215366060229358,0.343742576236742,0.316644351959151,0.137241456955463,-0.1333,0.2877,21,39.26,0.2679,104.1,53.96,-0.17
2010-11,0.549302858134338,0.242950932736304,0.317223189135221,0.379446930018956,0.173939143786157,-0.1368,0.4948,29,66.66,0.4172,103.8,73.41,1.12
2010-12,0.542976113480977,0.264238817767282,0.273620540796739,0.356791812311378,0.191071771175053,-0.1226,0.3754,37,43.68,0.3615,102.9,60.24,0.59
2011-01,0.559842300546407,0.283875971086869,0.289263898821526,0.270099804841579,0.168177431420009,-0.1072,0.0547,31,26.35,0.1975,100.4,46.98,-0.69
2011-02,0.517342514808673,0.23895099507591,0.234320273006102,0.241125315455668,0.155377345884509,-0.0632,0.1902,28,32.34,0.156,99.9,50.08,-0.62
2011-03,0.500973360646804,0.241150982907957,0.23641989089287,0.275868191692802,0.140266853435353,-0.086,0.1509,31,61.1,0.2193,99.6,69.1,0.04
2011-04,0.509424113685535,0.249197816568395,0.262314504943553,0.322186404481575,0.114894518057048,-0.0793,0.0164,24,31.62,0.2343,107.6,50.43,-0.36
2011-05,0.521879832882593,0.274385018666209,0.300130584430804,0.363649684221534,0.0902660677083838,-0.0679,0.0638,26,28.66,0.2025,106.6,48.77,-0.47
2011-06,0.525905166541477,0.319059716203517,0.353256245791157,0.370601997892025,0.107901326557432,-0.0571,0.148,28,31.13,0.1392,105.8,50.63,-0.6
2011-07,0.543302893235726,0.323905293803283,0.385155052261789,0.359489422033181,0.0968861131913931,-0.0814,0.7579,20,26.51,0.1306,108.1,46.65,-0.42
2011-08,0.532280707931716,0.376085282558628,0.419648171811164,0.405363964066527,0.169428394961752,-0.093,0.4846,25,30.68,0.1747,105.6,49.77,-0.37
2011-09,0.523695386157321,0.417017978283574,0.426685485413095,0.418220973336405,0.188475319672823,-0.0895,0.1276,21,26.14,0.1428,105.0,45.64,-0.88
2011-10,0.542701130271201,0.411868552731667,0.427456218719846,0.449664046171896,0.149291206527892,-0.0847,0.3309,10,17.43,0.1005,103.4,37.28,-1.23
2011-11,0.569460262509492,0.408838158313344,0.436424563589453,0.456942984649243,0.129307393784702,-0.0983,0.3551,20,24.97,0.1247,100.5,43.73,-0.95
2011-12,0.576537700571441,0.411579573492759,0.443310017064125,0.427461422817965,0.0755309220187224,-0.1011,0.0656,18,22.91,0.1421,97.0,41.03,-1.21
2012-01,0.542256210550088,0.342394751758783,0.386704938471833,0.360262022070941,0.106722346258408,-0.1297,0.018,10,10.45,0.0919,100.5,31.98,-1.77
2012-02,0.54104732193197,0.318714362963096,0.37375071116093,0.320256250054979,0.107815958911346,-0.117,0.4648,13,26.83,0.1134,103.9,44.15,-0.97
2012-03,0.516123715259898,0.317810793766543,0.336018797239345,0.291633035691828,0.152126835609709,-0.1266,0.2428,27,32.29,0.1548,105.0,50.99,-0.67
2012-04,0.499463892950216,0.24714716000868,0.31237738402171,0.255424472329354,0.144756594301272,-0.1188,0.1289,14,10.9,0.1686,100.0,33.16,-1.28
2012-05,0.488086828177404,0.247826909931728,0.327689956582246,0.271966872722448,0.136614601276475,-0.1153,0.2799,19,14.5,0.1523,103.0,37.35,-1.05
2012-06,0.480549406096412,0.233643449818173,0.340802902108709,0.294214870354791,0.0831265193650968,-0.1188,0.0568,22,15.83,0.1496,104.2,39.05,-1.14
2012-07,0.485519975846731,0.244760482276483,0.343572282962666,0.303958152078023,0.119071305731259,-0.114,0.1758,18,12.06,0.1161,99.3,34.65,-1.4
2012-08,0.468275486685389,0.228686294692293,0.315837592829793,0.308937467838156,0.124122867108506,-0.0981,0.3597,15,13.59,0.1159,98.2,34.79,-1.28
2012-09,0.518139355911174,0.276860181550003,0.357260533441144,0.320708291010786,0.121176819483405,-0.094,0.2274,12,13.6,0.1105,99.4,34.32,-1.4
2012-10,0.525409221537299,0.287505617906533,0.350798138991387,0.327479283317747,0.136864283487002,-0.0996,0.6109,4,9.19,0.1227,100.8,30.19,-1.25
2012-11,0.536281863139298,0.286670535114857,0.338708347197769,0.336077251864054,0.155554387728473,-0.1034,6.2674,1,11.78,0.1063,106.1,34.98,2.66
2012-12,0.536471004131111,0.231222966790075,0.27412453261966,0.319221921227282,0.135700461471833,-0.0992,0.0,0,14.36,0.0852,105.1,33.27,-1.72
2013-01,0.531679462852501,0.26467706515366,0.249335280681817,0.315704015503285,0.125974320573585,-0.1099,0.0,0,15.22,0.1532,103.7,33.53,-1.47
2013-02,0.509520371995659,0.237841004065062,0.220185917493533,0.289301042244403,0.110543759677278,-0.1121,0.0,0,12.65,0.1985,104.5,32.09,-1.31
2013-03,0.559330693052391,0.251522135251825,0.240113833855358,0.336602769778102,0.0854729337224438,-0.1099,0.0,0,24.09,0.18,108.2,40.25,-1.13
2013-04,0.547298046367251,0.254471234115672,0.216679907894753,0.325815692607514,0.0826492144154544,-0.1238,0.0,0,9.97,0.1686,102.6,29.92,-1.55
2013-05,0.560905678886258,0.297432787915535,0.207397880362914,0.299799469458408,0.123911299584506,-0.1118,0.0,0,14.11,0.1349,103.7,32.81,-1.57
2013-06,0.594678945123165,0.299209869782841,0.297107488346581,0.365600269868012,0.137871573299833,-0.1042,0.0,0,12.27,0.1873,99.0,30.58,-1.45
