month,DCEF,RIPO,NIPO,NA,TURN,CCI,sen
2020-04,-0.1279,0.6732,24,54.68,0.3425,122.2,0.722155563700339
2020-05,-0.1086,0.7234,18,40.47,0.2484,116.4,0.446083114836298
2020-06,-0.1166,1.1402,26,51.63,0.2409,115.8,0.7114876103375853
2020-07,-0.1111,1.0085,82,80.88,0.2702,112.6,2.2516905318571543
2020-08,-0.1187,1.4199,59,59.84,0.4434,117.2,1.6448190626595718
2020-09,-0.1076,1.309,67,51.38,0.3319,116.4,1.8862044916642375
2020-10,-0.0953,1.1821,25,37.34,0.2424,120.5,0.8563306600938402
2020-11,-0.0842,1.4013,25,50.9,0.2393,121.7,0.9946290449312428
2020-12,-0.088,0.958,59,54.06,0.2578,124.0,1.947336404443193
2021-01,-0.0912,1.0265,37,69.81,0.2418,122.1,1.3260573285006776
2021-02,-0.0907,1.4464,34,53.65,0.3179,122.8,1.240006423531946
2021-03,-0.0549,1.6878,39,82.58,0.2776,127.0,1.748201643816319
2021-04,-0.0713,1.5797,55,56.38,0.2336,122.2,1.9277986163499023
2021-05,-0.0622,1.5962,42,47.07,0.2187,121.5,1.5547061727779496
2021-06,-0.0764,2.2413,52,51.84,0.247,121.8,1.8784424131848487
2021-07,-0.004,2.5215,51,53.63,0.2698,122.8,2.143318020320752
2021-08,0.0013,1.8123,48,62.49,0.3316,117.8,1.841079318517888
2021-09,0.0229,2.0634,40,53.94,0.3671,117.5,1.670512994468315
2021-10,0.1002,0.5382,34,32.69,0.3696,121.2,1.6137373835786233
2021-11,0.1313,1.2017,47,44.58,0.2717,120.2,2.2003348416741364
2021-12,0.1734,0.5924,45,45.79,0.3025,119.5,2.1754780731088426
2022-01,0.2443,0.4715,32,44.14,0.2901,119.8,2.034818489992996
2022-02,0.3664,0.4208,17,47.15,0.279,121.5,2.066030673280621
2022-03,0.4414,0.3283,37,76.73,0.2518,120.5,2.9188874334070647
2022-04,0.3215,0.0832,36,41.89,0.2749,113.2,2.148986540182303
2022-05,0.2874,0.4557,18,40.09,0.2533,86.7,0.7935147095119959
2022-06,0.1526,0.5093,31,44.34,0.2425,86.8,0.7493145521074924
2022-07,0.2511,0.293,34,37.74,0.299,88.9,1.144463402979372
2022-08,0.1228,0.5029,49,41.53,0.2672,87.9,1.1701678298258344
2022-09,0.2718,0.1924,50,34.35,0.2738,87.0,1.5885271871432236
2022-10,0.2456,0.34,31,26.76,0.2055,87.2,1.0036957014648398
2022-11,0.1602,0.2786,33,32.44,0.2348,86.8,0.7703784022494364
2022-12,0.1968,0.0889,60,23.75,0.266,85.5,1.5419957646428428
2023-01,0.1436,0.4417,10,28.16,0.2172,88.3,0.1349147294233841
2023-02,0.075,0.5563,24,55.89,0.212,91.2,0.4872296313046156
2023-03,0.037,0.2639,34,63.21,0.2328,94.7,0.7257910262068301
2023-04,0.2136,0.4279,35,33.4,0.2388,94.9,1.259398985798613
2023-05,0.1702,0.3941,31,32.42,0.2908,87.1,0.7475524958693899
2023-06,-0.0554,0.2955,39,32.71,0.241,88.2,0.2876943581116418
2023-07,0.0125,0.4302,37,30.34,0.2507,86.4,0.4019679370905332
2023-08,0.0098,1.2932,33,33.2,0.2165,86.4,0.409007996565308
